doet zweten,sweat,-3,3,3,2,3,3,1,3,3,3,2,3
heeft spelregels,has some rules of play,-3,3,3,3,3,3,3,2,3,3,2,2
heeft veel media-aandacht,has a lot of media attention,0,3,3,-1,3,2,-1,2,2,2,1,1
is duur,is expensive,-2,2,-2,-1,1,1,-2,1,-2,2,-2,1
is een fysieke activiteit,is a physical activity,-3,3,3,3,3,3,2,2,2,3,3,2
is een hobby,is a hobby,-3,3,3,2,1,3,2,1,2,3,2,2
is een individuele sport,is practised alone,2,1,1,1,2,0,-2,1,0,1,0,0
is een olympische discipline,is an olympic discipline,1,0,3,1,3,3,2,2,1,1,-3,1
is eeuwen oud,is age-old,1,3,1,-2,3,3,-2,3,-2,2,-2,-2
is gezond,is healthy,-3,3,3,3,3,3,2,2,2,3,3,3
is goed voor de conditie,is good for the condition,-2,3,3,3,3,3,2,3,2,3,3,3
is leuk,is fun,-3,3,3,3,3,3,1,2,2,3,2,2
is ontspannend,is relaxing,-3,3,3,3,3,3,-1,3,3,3,2,2
is populair,is popular,-3,3,3,2,1,3,1,2,2,3,3,1
is vermoeiend,is tiring,-3,3,3,2,2,3,2,1,2,3,2,3
kan een beroep zijn,can be a profession,-3,3,3,1,3,3,1,0,3,3,2,-2
kan in competitie worden beoefend,can be practised in competition,-3,3,3,2,3,2,2,2,2,3,3,2
spieren ontwikkelen,develop muscles,-2,3,-3,0,1,0,-2,1,2,-3,-2,-2
supporters moedigen de spelers aan,supporters encourage the players,-3,1,3,1,3,2,2,2,2,1,0,1
vergt aangepaste kledij,needs adapted clothing,-1,2,2,2,3,3,-1,2,2,1,0,1
vergt een goede conditie,needs a good condition,-2,1,2,0,2,0,1,1,1,0,0,-3
vergt specifieke technieken,needs specific skills,-2,2,3,2,3,0,2,2,2,3,2,2
vergt veel training,needs a lot of training,-3,0,-3,1,1,1,-2,1,1,-1,-3,-2
wordt binnen gespeeld,is practised indoor,-1,1,1,2,2,0,-2,1,0,2,1,-1
wordt buiten beoefend,is practised outdoor,-2,1,3,2,2,2,-1,1,2,2,1,1
wordt gespeeld in clubverband,is practised in a club,2,2,2,2,1,3,1,2,2,3,1,2
wordt vaak in groepsverband gedaan,can be practised in group,-1,3,3,2,3,3,-1,2,2,1,3,2
er zijn verschillende soorten van,exists in different kinds,1,0,1,-1,0,2,2,2,0,1,-3,0
kan blessures opleveren,can cause injuries,0,3,-1,1,2,0,3,2,1,1,-2,1
kan verslavend werken,can become addictive,1,1,-2,1,2,-2,-1,1,1,-1,-2,-1
vereist concentratie / geestelijke inspanning,requires concentration / mental effort,1,2,0,1,2,0,0,3,1,1,-2,0
vergt motivatie,requires motivation,1,2,0,1,2,2,1,2,2,2,1,0
veroorzaakt vetverbranding,burns fat,3,3,0,2,3,2,2,1,2,2,2,3
