acteert,acts,1,2,3,3,1,3,3,2,2,0,0,-3
arresteert mensen,arrests people,1,2,3,3,1,3,2,2,2,0,0,-3
babbelt graag,likes to chat,-3,0,-2,-2,-2,1,-2,1,1,0,0,-3
"bakt brood, koeken, taart","bakes bread, cookies, cake",2,2,3,3,1,3,2,2,2,0,2,-3
bedeelt de post,delivers the mail,1,2,3,3,1,3,2,2,2,0,1,-3
bedient de mensen,serves people,0,1,1,1,-2,2,2,2,1,1,1,1
behandelt patiënten,treats patients,1,2,1,2,2,2,2,2,2,0,0,-1
behandelt spieren,treats muscles,1,2,3,1,2,3,1,2,2,0,0,-3
beheert de agenda van de baas,manages the agenda of the boss,1,2,2,2,1,3,1,2,1,0,1,-3
behoort tot een politieke partij,belongs to a political party,1,1,3,-3,1,3,-1,-2,1,0,0,-3
bepaalt de straf,determines the punishment,-2,2,3,3,1,3,2,2,2,0,1,-3
bereidt eten,prepares food,-1,1,3,3,1,3,2,2,1,0,0,-3
bereidt medicijnen,prepares medicines,1,2,3,3,1,3,1,0,2,0,0,-3
bereidt vlees,prepares meat,1,2,3,2,-2,3,2,2,1,0,0,-3
berekent vanalles,calculates a lot,1,2,-1,1,1,2,1,0,1,1,0,-3
bestrijdt de misdaad,fights crime,-1,2,3,2,1,3,2,2,2,0,1,-3
bestudeert het menselijk gedrag,studies human behaviour,-1,2,1,3,1,2,2,2,2,0,0,-3
bestuurt een vliegtuig,pilots an airplane,2,2,3,3,1,3,2,2,2,0,0,-3
bestuurt het land,governs the country,2,2,3,3,1,3,3,2,2,0,0,-3
bestuurt vuilniswagen,drives a garbage truck,0,2,3,3,1,3,1,2,1,0,0,-3
bijgestaan door jury,assisted by a jury,-2,2,2,1,-2,3,1,2,1,0,1,-3
blust het vuur,extinguishes the fire,1,2,3,3,1,3,2,2,2,0,0,-3
boort,bores,-2,1,-3,3,1,3,-2,3,1,0,0,-3
brengt eten en drinken,brings food and drinks,-2,1,1,-2,-1,2,1,2,1,0,0,-3
controleert het gebit,controls teeth,1,2,3,3,2,3,2,2,3,0,0,-3
deelt boetes uit,imposes fines,-1,1,3,3,1,3,2,2,2,0,1,-3
doet administratief werk,has got an administrative job,1,2,2,2,2,1,2,2,1,0,1,1
doet de boekhouding,does the accountancy,0,1,3,3,1,3,2,2,1,0,0,-3
doet je pijn,hurts you,0,1,-1,-3,-2,0,-2,0,1,0,0,-3
doet klachten verdwijnen,remedies complaints,1,1,1,2,1,2,1,2,2,0,0,-1
doet onderzoek,does research,1,2,2,1,2,2,0,2,1,0,1,-2
doet veel papierwerk,does a lot of paperwork,0,1,1,1,2,2,1,2,1,0,1,0
doet vondsten,discovers things,0,2,2,3,-1,2,0,2,2,0,1,-3
doet zwaar werk,performs heavy work,0,1,-2,-1,2,-1,-2,2,0,1,0,-1
draagt een bakkersmuts,wears a baker's cap,1,1,3,3,1,3,2,2,1,0,0,-3
draagt een blauw uniform,wears a blue uniform,1,2,3,3,1,2,2,-3,1,0,1,-2
draagt een fluo pak,wears a fluorescent suit,-2,1,0,3,-1,1,1,2,1,0,0,-3
draagt een helm,wears a helmet,1,2,0,2,1,2,3,-3,0,0,0,-2
draagt een hoed,wears a head,-3,1,-2,-3,-2,2,-2,-3,0,0,0,-3
draagt een kepie,wears a kepi,0,1,3,3,1,2,0,-2,2,0,1,-3
draagt een koksmuts,wears a cook's cap,1,2,3,3,2,3,2,2,2,0,0,-2
draagt een kostuum,wears a suit,0,1,-2,1,2,1,-2,-1,1,0,0,-3
draagt een monddoekje,wears a tissue to cover the mouth,-1,2,1,3,-3,3,3,-3,1,0,0,-3
draagt een oranje pak,wears an orange suit,1,1,2,3,-3,3,1,-1,1,0,0,-3
draagt een overall,wears overalls,-1,1,0,1,1,1,1,-1,1,0,0,-1
draagt een pak,wears a suit,1,1,0,1,2,1,-2,-1,0,0,1,1
draagt een pet,wears a cap,-2,0,0,-3,-2,0,-2,-3,1,0,0,-3
draagt een schort,wears an apron ,0,0,2,-1,1,1,-1,0,1,0,1,-2
draagt een toga,wears a toga,2,2,3,3,1,3,2,2,2,0,0,-3
draagt een uniform,wears a uniform,2,1,1,1,1,0,1,1,1,0,0,1
draagt een witte jas,wears a white coat,-1,1,2,2,1,2,1,-3,1,0,1,-2
draagt een zwart kleed,wears a black robe,-2,0,1,-3,-3,3,0,-3,1,0,0,-3
draagt handschoenen,wears gloves,0,1,1,-1,-2,1,0,2,1,0,1,-3
draagt hoge hakken,wears high-heeled shoes,-3,-3,-2,-3,-3,0,-2,-2,0,0,0,-3
draagt laarzen,wears boots,-3,1,-1,-2,-2,-3,-2,2,1,0,0,-3
draagt speciale kledij,wears special clothing,2,1,1,-3,1,1,1,1,0,1,0,1
droeg vroeger een pruik,used to wear a wig,-3,-1,-2,-3,-3,2,-1,2,0,0,0,-3
Eddy Wally zingt erover,Eddy Wally sings about it,-3,-2,-3,2,-3,2,0,-3,0,0,0,-3
eet graag,likes to eat,-3,0,-2,-3,-3,-3,-1,1,0,0,0,-3
er bestaan televisieprogramma's over,there are television programs about it,0,0,3,-2,-2,1,-1,-2,0,1,0,-3
er is een eerste minister,there's a prime minister,0,2,3,2,1,0,3,2,3,0,2,-3
er is er één in elk dorp,there's one in every village,-2,0,1,0,1,2,-1,-2,1,0,1,-1
er zijn er in Hollywood,is found in Hollywood,-1,1,3,1,-1,3,-3,2,1,0,1,-3
er zijn er te weinig,there are too few of them,-3,0,-1,-3,-3,2,-3,2,0,0,1,-2
er zijn verschillende soorten,there are many kinds of it,3,2,-3,-3,3,-1,1,2,1,3,0,3
gaat door weer en wind,is exposed to all sorts of weathers,-1,1,1,-2,-2,2,0,1,0,0,0,-3
gaat vaak naar Egypte,often goes to Egypt,-2,-1,1,2,-3,0,-1,3,0,0,1,-3
gaat vaak naar het buitenland,often goes abroad,0,1,0,1,1,1,-1,0,1,0,1,0
gaat vreemd met getrouwde vrouwen,has an affair with married women,-3,-3,-1,-3,-3,-1,-2,-3,0,0,0,-3
gebruikt allerlei instrumenten,uses all kinds of tools,1,1,1,1,1,1,1,2,1,0,0,2
